CZAS;ILOŚĆ
4.429000;1000000000
4.464000;1000000000
4.449000;1000000000
4.434000;1000000000
0.442000;100000000
0.447000;100000000
0.440000;100000000
0.441000;100000000
0.440000;100000000
4.395000;1000000000
